id,Payment Type,Amount,Date,Method,Tenant ID
81,security deposit,2300.0,2015-09-23,venmo,4
82,rent,2300.0,2015-09-23,venmo,4
83,rent,2300.0,2015-10-23,venmo,4
84,rent,2300.0,2015-11-23,venmo,4
85,rent,2300.0,2015-12-23,venmo,4
86,rent,2300.0,2016-01-23,venmo,4
87,rent,2300.0,2016-02-23,venmo,4
88,rent,2300.0,2016-03-23,venmo,4
89,rent,2300.0,2016-04-23,venmo,4
90,rent,2300.0,2016-05-23,venmo,4
91,rent,2300.0,2016-06-23,venmo,4
92,rent,2300.0,2016-07-23,venmo,4
93,rent,2300.0,2016-08-23,venmo,4
94,rent,2300.0,2016-09-23,venmo,4
95,rent,2300.0,2016-10-23,venmo,4
96,rent,2300.0,2016-11-23,venmo,4
97,rent,2300.0,2016-12-23,venmo,4
98,rent,2300.0,2017-01-23,venmo,4
99,rent,2300.0,2017-02-23,venmo,4
100,rent,2300.0,2017-03-23,venmo,4
101,rent,2300.0,2017-04-23,venmo,4
102,rent,2300.0,2017-05-23,venmo,4
103,rent,2300.0,2017-06-23,venmo,4
104,rent,2300.0,2017-07-23,venmo,4
105,rent,2300.0,2017-08-23,venmo,4
106,rent,2300.0,2017-09-23,venmo,4
107,rent,2300.0,2017-10-23,venmo,4
108,rent,2300.0,2017-11-23,venmo,4
109,rent,2300.0,2017-12-23,venmo,4
110,rent,2300.0,2018-01-23,venmo,4
111,rent,2300.0,2018-02-23,venmo,4
112,rent,2300.0,2018-03-23,venmo,4
113,rent,2300.0,2018-04-23,venmo,4
114,rent,2300.0,2018-05-23,venmo,4
115,rent,2300.0,2018-06-23,venmo,4
116,rent,2300.0,2018-07-23,venmo,4
117,rent,2300.0,2018-08-23,venmo,4
118,rent,2300.0,2018-09-23,venmo,4
119,rent,2300.0,2018-10-23,venmo,4
120,rent,2300.0,2018-11-23,venmo,4
121,rent,2300.0,2018-12-23,venmo,4
122,rent,2300.0,2019-01-23,venmo,4
123,rent,2300.0,2019-02-23,venmo,4
124,rent,2300.0,2019-03-23,venmo,4
125,rent,2300.0,2019-04-23,venmo,4
126,rent,2300.0,2019-05-23,venmo,4
127,rent,2300.0,2019-06-23,venmo,4
128,rent,2300.0,2019-07-23,venmo,4
